#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 456    10.111700    0.65240364E+01
 457    10.121700    0.65444641E+01
 458    10.131700    0.65786531E+01
 459    10.141700    0.66119011E+01
 460    10.151700    0.66504579E+01
 461    10.161700    0.66927484E+01
 462    10.171700    0.67124118E+01
 463    10.181700    0.67436963E+01
 464    10.191700    0.67648607E+01
 465    10.201700    0.68103500E+01
 466    10.211700    0.68465137E+01
 467    10.221700    0.68702721E+01
 468    10.231700    0.68939552E+01
 469    10.241700    0.69292166E+01
 470    10.251700    0.69562166E+01
 471    10.261700    0.70139696E+01
 472    10.271700    0.70399760E+01
 473    10.281700    0.70772524E+01
 474    10.291700    0.71107812E+01
 475    10.301700    0.71444201E+01
 476    10.311700    0.71682625E+01
 477    10.321700    0.72007379E+01
 478    10.331700    0.72328328E+01
 479    10.341700    0.72563490E+01
 480    10.351700    0.72938742E+01
 481    10.361700    0.73282779E+01
 482    10.371700    0.73552161E+01
 483    10.381700    0.73866954E+01
 484    10.391700    0.74092831E+01
 485    10.401700    0.74496047E+01
 486    10.411700    0.74899778E+01
 487    10.421700    0.75200232E+01
 488    10.431700    0.75553972E+01
 489    10.441700    0.75836566E+01
 490    10.451700    0.76090711E+01
 491    10.461700    0.76511605E+01
 492    10.471700    0.76826943E+01
 493    10.481700    0.77043759E+01
 494    10.491700    0.77302383E+01
 495    10.501700    0.77628811E+01
 496    10.511700    0.78027106E+01
 497    10.521700    0.78315410E+01
 498    10.531700    0.78691379E+01
 499    10.541700    0.78947226E+01
 500    10.551700    0.79173397E+01
 501    10.561700    0.79330098E+01
 502    10.571700    0.79825869E+01
 503    10.581700    0.80168844E+01
 504    10.591700    0.80335742E+01
 505    10.601700    0.80689695E+01
 506    10.611700    0.81018943E+01
 507    10.621700    0.81292116E+01
 508    10.631700    0.81691382E+01
 509    10.641700    0.81985356E+01
 510    10.651700    0.82187963E+01
 511    10.661700    0.82640554E+01
 512    10.671700    0.82890111E+01
 513    10.681700    0.83171174E+01
 514    10.691700    0.83297605E+01
 515    10.701700    0.83595990E+01
 516    10.711700    0.83871273E+01
 517    10.721700    0.84127185E+01
 518    10.731700    0.84534108E+01
 519    10.741700    0.84766749E+01
 520    10.751700    0.85129000E+01
 521    10.761700    0.85364930E+01
 522    10.771700    0.85647140E+01
 523    10.781700    0.85935528E+01
 524    10.791700    0.86270088E+01
 525    10.801700    0.86594614E+01
 526    10.811700    0.86776836E+01
 527    10.821700    0.87034219E+01
 528    10.831700    0.87308620E+01
